#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
1820d4fa82034ce7ba215ab9bc03b972,1,1,1,0,1,0,0,3630,3630,50,0,0,0,0,1
bed0ef2e1f2f4ed1aab00b9fb078aae8,1,1,1,0,1,0,0,3087,3087,103,0,0,0,0,0
fff277d41767478d871b7f411ec132b7,1,1,1,0,1,0,0,2710,2710,89,0,0,0,0,0
2bdc89d7f2454851bdd451d4b0b29091,1,1,1,0,1,0,0,2593,2593,43,0,0,0,0,0
44d6fbae6aee4cd8a513fcb36aced477,1,1,1,0,1,0,0,2489,2489,40,0,0,0,0,0
330fde9709ce4c5487404ad3ae78cecf,1,1,1,0,1,0,0,1959,1959,45,0,0,0,0,1
3e396f8fcdd14b3f8516d04b9436b50d,1,1,1,0,1,0,0,1835,1835,63,0,0,0,0,0
46aeea1a372140ae93c0066932b8dbfa,1,1,1,0,1,0,0,1742,1742,15,0,0,0,0,0
df11dfdcd6c94d388564445df8209efb,1,1,1,0,1,0,0,1680,1680,29,0,0,0,0,0
5c4005ce106e4331bea0bd7ccbf812f4,1,1,1,0,1,0,0,1662,1662,29,0,0,0,0,0
f85bd42b587f4d7492ccdbfac243e28f,1,1,1,0,1,0,0,1631,70.91304347826087,90,0,0,0,0,2
50663bd442fa4552bb2aaac0241f8f5d,1,1,1,0,1,0,0,1625,812.5,30,0,0,0,0,0
23676d54473c4bf5b8844b02cc5971a5,1,1,1,0,1,0,0,1440,720,56,0,0,0,0,0
a088c1901f3845e5a1b8415301b8ce6d,1,1,1,0,1,0,0,1393,1393,38,0,0,0,0,0
85d76756b9bc479c84c641f204d77c5f,1,1,1,0,1,0,0,1389,1389,9,0,0,0,0,0
4fc7e9c2aa9b42e9a142ed6ef2143ef9,1,1,1,0,1,0,0,1369,456.3333333333333,105,0,0,0,0,1
e8e1bdff2df141ffb9269e7a3150d18a,1,1,1,0,1,0,0,1350,675,85,0,0,0,0,0
1d3c79bd2f8c455389933bb8fab5a87f,1,1,1,0,1,0,0,1178,1178,67,0,0,0,0,0
38d9a3891b484aa1895955a09d7c1ded,1,1,1,0,1,0,0,1174,1174,58,0,0,0,0,0
132fe946ebfb43e2b0ee624697789f01,1,1,1,0,1,0,0,1173,1173,26,0,0,0,0,0
806a359d262241bdb7ca1c5f65dfd31f,1,1,1,0,1,0,0,1154,96.16666666666667,33,0,0,0,0,1
035ef108286644f7b82aae072b319c8e,1,1,1,0,1,0,0,1130,1130,55,0,0,0,0,0
fafdb467247e460fb47f6f136749c842,1,1,1,0,1,0,0,1116,558,60,0,0,0,0,1
10f81730175f428790e68b27d75f52e8,1,1,1,0,1,0,0,1075,537.5,79,0,1,0,0,2
8ceface13fab49ec83f0f24c9a5a67d4,1,1,1,0,1,0,0,971,971,13,0,0,0,0,0
4ee4c02db1f74a96b1fe19b517adcd62,1,1,1,0,1,0,0,965,965,61,0,0,0,0,0
f0979b7c9e7e5a4e9b7150d9df314241,1,1,1,0,1,0,0,954,954,86,1,0,1,0,2
da353154cfdc4a1c98bc674d23575900,1,1,1,0,1,0,0,871,871,69,0,0,0,0,0
3f5555c7ec0a46ae922e76d065e46c60,1,1,1,0,1,0,0,869,869,36,0,0,0,0,1
4679a5ee7a884d639c903b1c59b5d854,1,1,1,0,1,0,0,824,824,72,0,0,0,0,0
3074c530a4de4b07af242c42a318d602,1,1,1,0,1,0,0,805,805,45,0,0,0,0,0
bf7f5e03b9c24223b569d8a6178ed49f,1,1,1,0,1,0,0,782,391,45,0,0,0,0,0
c4ef2d23d53a406686a45417cd42743a,1,1,1,0,1,0,0,756,252,48,0,0,0,0,0
d892f8a3297448f5bd65c41e4b4e7df1,1,1,1,0,1,0,0,740,370,55,0,1,1,0,0
